Kinase,R1C1P1,R1C1P2,R1C2P3,R1C2P4,R1C3P5,R2C1P1,R2C1P2,R2C2P3,R2C2P4,R2C3P5,R2C3P6,R3C1P1,R3C1P2,R3C2P3,R3C2P4,R3C3P5,R3C3P6,R4C1P1,R4C1P2
PKCI,1,1,2,2,2,1,1,3,1,1,1,1,4,4,2,1,4,2,1
DYRK,1,2,1,1,1,4,1,2,1,1,2,1,1,1,1,1,2,1,1
PKA,1,1,1,1,1,3,2,4,3,2,2,1,2,1,1,1,1,3,2
CHK1,1,2,2,2,4,1,2,2,3,3,2,4,2,4,2,4,1,2,2
PKCD,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,4
STKR,1,1,1,1,4,1,1,3,1,1,3,1,3,1,1,1,1,3,2
AKT,1,1,4,3,2,3,2,2,2,3,4,2,2,1,4,2,4,1,1
GRK,1,2,1,1,4,1,1,3,4,1,3,2,2,2,3,2,2,4,4
NMO,1,1,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1
PLK,1,1,1,1,1,2,4,1,2,1,2,1,4,2,1,1,2,1,1
ERK,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1
JNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAO,1,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,1
BUD32,1,2,3,3,1,3,4,3,3,3,1,3,1,1,3,4,3,3,3
MOS,1,3,3,3,1,3,4,3,3,3,4,3,3,3,3,4,4,3,3
STE7,1,1,3,1,2,1,2,1,4,1,1,1,1,1,3,1,3,1,1
NDR,1,3,1,4,3,4,1,4,2,2,2,4,1,1,4,3,2,4,4
BARK2,1,1,3,3,4,2,1,2,2,3,1,3,1,4,4,2,2,4,4
PKCH,1,2,1,1,4,1,1,1,1,1,4,2,2,4,1,1,1,4,4
PKCA,1,4,4,4,2,4,3,4,2,4,3,3,2,2,3,2,4,2,2
PKG,2,3,1,1,1,3,1,2,2,3,4,1,4,2,2,1,1,4,4
PAKA,2,1,1,4,2,3,1,4,3,2,1,1,2,1,2,3,1,2,2
IKK,2,2,4,1,2,3,1,4,1,2,4,2,1,2,4,3,4,3,3
DMPK,2,2,1,2,1,1,2,2,3,1,3,1,1,2,1,1,1,1,1
PEK,2,4,4,2,4,2,4,4,4,1,1,4,4,2,3,2,3,3,2
RSK,2,3,1,2,2,2,4,1,1,4,4,2,4,3,1,2,3,4,4
PIM,2,3,2,2,3,2,4,1,3,2,4,1,4,4,2,1,3,2,3
LKB,2,4,4,3,4,4,2,3,4,4,4,2,4,2,3,1,2,3,3
TLK,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,2
HAL,2,4,2,4,3,2,2,2,1,4,2,2,2,2,2,2,3,2,2
"NAK",2,2,2,1,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2
SGK,2,3,4,3,4,4,4,3,4,4,2,4,4,4,2,4,4,4,4
CDK,2,1,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,3
MST,2,4,3,4,2,3,4,3,2,4,3,1,4,3,3,4,3,1,1
MSN,2,1,1,3,1,2,2,2,4,4,4,4,2,2,2,4,2,2,2
CAMK1,2,3,4,4,4,3,3,3,4,4,3,3,4,4,4,4,1,1,1
MLK,2,1,4,2,4,4,2,2,3,2,2,4,1,2,1,3,3,3,3
CAMK2,2,3,4,4,4,3,2,4,2,3,4,4,2,2,4,2,1,2,2
RIPK,2,4,4,2,2,1,2,1,2,1,3,4,3,1,4,4,2,2,2
RAF,2,3,2,2,2,4,3,4,4,4,4,4,3,1,1,3,1,2,2
CAMKK,3,2,3,2,3,3,4,3,3,2,4,3,3,3,3,3,4,3,3
ATR,3,4,2,3,4,4,4,4,2,3,4,3,2,2,4,4,4,2,2
BRSK,3,3,2,3,3,3,1,1,1,3,1,2,3,3,1,2,4,3,3
RAD53,3,3,4,4,4,4,2,1,4,1,1,2,4,3,2,2,4,4,4
ULK,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WNK,3,2,3,3,3,1,3,1,1,2,3,3,3,1,3,3,3,1,1
PASK,3,2,3,3,1,1,1,1,4,2,1,2,1,1,3,2,4,3,3
NIK,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3
CLK,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
KHS,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
PHK,3,3,4,2,2,3,4,4,2,3,1,3,1,2,1,2,1,4,4
SLK,3,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MAPKAPK,3,4,4,1,2,1,1,3,1,4,2,4,2,4,2,3,2,4,4
MTOR,3,3,3,4,3,2,2,2,2,4,2,3,4,3,2,4,1,4,3
NUAK,3,4,2,4,3,2,3,3,3,2,2,2,3,3,2,3,3,2,2
PKD,3,4,3,4,4,4,3,4,1,2,2,2,4,3,3,2,2,4,4
TTK,3,4,2,4,2,2,2,2,3,2,2,2,3,3,2,2,3,2,2
PKN,3,4,2,4,2,2,3,2,2,2,3,2,2,2,3,4,1,3,3
PAKB,3,4,2,4,2,2,1,1,3,2,3,4,1,2,2,2,3,3,3
COT,3,3,3,2,1,2,2,1,2,4,4,4,4,1,1,2,2,4,4
MELK,4,2,1,2,4,4,1,3,1,4,1,4,1,4,4,4,2,3,4
CK1,4,1,2,1,1,1,3,1,3,1,1,1,1,2,1,1,1,1,1
PDHK,4,4,1,3,2,1,4,1,4,3,3,3,3,3,4,4,4,1,1
P38,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
MLCK,4,4,1,4,3,4,4,4,4,4,4,4,3,3,4,3,4,4,3
VRK1,4,2,3,3,3,4,4,3,1,4,2,1,1,4,4,3,2,4,4
AUR,4,1,2,1,1,1,3,1,2,1,2,1,1,1,1,1,4,1,1
CK2,4,3,4,1,4,3,4,2,4,3,2,4,2,3,4,4,4,4,4
IRAK,4,2,3,3,4,4,3,2,4,4,2,4,4,4,2,4,4,1,1
QIK,4,2,4,4,3,2,3,3,2,3,3,4,4,4,4,4,3,4,4
GSK,4,3,3,3,3,4,3,4,4,3,1,3,2,4,4,3,2,1,1
ATM,4,4,1,4,4,4,2,4,2,2,2,4,4,4,4,4,2,2,2
AMPK,4,4,4,2,3,2,4,2,4,4,2,4,4,4,2,2,4,4,4
NEK,4,4,4,2,3,2,2,2,2,4,4,3,4,4,2,2,2,2,2
DAPK,4,4,4,4,3,4,4,4,1,4,4,4,1,4,4,4,4,2,2
PRKDC,4,4,2,4,4,4,2,3,4,4,4,2,2,4,4,3,2,4,4
FRAY,4,1,2,3,2,2,3,1,1,1,4,3,2,1,1,4,4,1,1
PDK1,4,3,3,3,1,4,3,4,4,2,1,2,4,4,3,1,4,4,4
STE11,4,2,4,3,4,4,4,4,2,2,2,1,3,3,4,2,1,1,2
MARK,4,1,4,4,2,1,4,4,4,2,4,2,3,2,4,3,1,1,1
PDK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3,3
