Peptide,R1C1P1,R1C1P2,R1C2P3,R1C3P5,R2C1P1,R2C1P2,R2C2P3,R2C2P4,R2C3P5,R2C3P6,R3C1P1,R3C1P2,R3C2P3,R3C2P4,R4C1P1,R4C1P2,R1C2P4,R3C3P5,R3C3P6,Upregulated,Downregulated,Total_Absolute,Total_Relative
ACM1_421_433,Up,Up,Up,Up,Down,Down,Up,Up,Down,Up,Up,Up,Up,Down,Up,Up,Absent,Absent,Absent,12,-4,16,8
ACM1_444_456,Up,Up,Up,Up,Absent,Down,Down,Absent,Down,Absent,Up,Down,Down,Absent,Absent,Absent,Down,Up,Absent,6,-6,12,0
ACM4_456_468,Absent,Down,Down,Absent,Down,Down,Absent,Up,Down,Absent,Up,Up,Up,Down,Up,Up,Down,Up,Absent,7,-7,14,0
ACM5_494_506,Absent,Down,Down,Absent,Down,Down,Up,Up,Down,Up,Up,Absent,Up,Absent,Up,Up,Down,Up,Absent,8,-6,14,2
ACM5_498_510,Absent,Down,Absent,Absent,Absent,Down,Up,Up,Down,Absent,Up,Up,Up,Up,Up,Up,Down,Up,Absent,9,-4,13,5
ADDB_696_708,Up,Down,Up,Absent,Down,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,3,-2,5,1
ADDB_706_718,Absent,Absent,Down,Absent,Absent,Absent,Down,Absent,Down,Down,Up,Down,Up,Absent,Absent,Absent,Up,Up,Absent,4,-5,9,-1
ADRB2_338_350,Absent,Up,Absent,Up,Down,Absent,Absent,Down,Down,Absent,Up,Absent,Up,Absent,Up,Up,Absent,Up,Down,7,-4,11,3
ANDR_785_797,Absent,Up,Absent,Absent,Down,Absent,Down,Absent,Down,Absent,Up,Absent,Absent,Absent,Absent,Absent,Down,Up,Down,3,-5,8,-2
BAD_112_124,Down,Up,Up,Down,Absent,Down,Down,Down,Down,Absent,Up,Absent,Absent,Absent,Absent,Absent,Down,Down,Absent,3,-8,11,-5
BAD_69_81,Up,Down,Down,Down,Absent,Down,Down,Absent,Down,Down,Up,Up,Absent,Up,Up,Up,Absent,Up,Up,8,-7,15,1
BAD_93_105,Up,Down,Down,Absent,Down,Absent,Up,Up,Down,Absent,Up,Absent,Absent,Absent,Absent,Absent,Down,Absent,Absent,4,-5,9,-1
BCKD_45_57,Absent,Up,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Up,Up,Up,Down,Up,Up,Down,Up,Up,9,-3,12,6
CA2D1_494_506,Absent,Up,Down,Down,Down,Absent,Absent,Up,Down,Up,Up,Absent,Up,Absent,Absent,Absent,Down,Absent,Down,5,-6,11,-1
CAC1C_1974_1986,Absent,Up,Absent,Absent,Down,Absent,Absent,Absent,Down,Absent,Up,Absent,Up,Absent,Absent,Absent,Up,Up,Absent,5,-2,7,3
CD27_212_224,Up,Up,Up,Absent,Up,Absent,Up,Absent,Down,Down,Up,Absent,Absent,Absent,Up,Up,Down,Up,Absent,9,-3,12,6
CDC2_154_169,Absent,Absent,Down,Down,Up,Up,Absent,Up,Absent,Absent,Down,Absent,Absent,Up,Absent,Absent,Up,Up,Absent,6,-3,9,3
CDK7_163_175,Down,Up,Absent,Absent,Up,Absent,Absent,Down,Down,Absent,Absent,Absent,Up,Up,Up,Up,Up,Up,Absent,8,-3,11,5
CENPA_1_14,Down,Up,Up,Down,Absent,Absent,Up,Absent,Down,Absent,Up,Absent,Absent,Absent,Up,Up,Down,Up,Absent,7,-4,11,3
CFTR_761_773,Absent,Up,Down,Up,Absent,Up,Absent,Absent,Down,Down,Up,Down,Up,Down,Up,Up,Up,Up,Down,9,-6,15,3
CGHB_109_121,Down,Up,Up,Down,Down,Down,Up,Absent,Down,Absent,Up,Up,Up,Down,Up,Up,Down,Down,Up,9,-8,17,1
CREB1_126_138,Absent,Up,Absent,Absent,Down,Absent,Down,Down,Down,Down,Up,Absent,Up,Down,Absent,Absent,Up,Up,Absent,5,-6,11,-1
CSF1R_701_713,Up,Absent,Down,Down,Up,Absent,Down,Down,Down,Absent,Up,Absent,Up,Down,Up,Up,Up,Up,Absent,8,-6,14,2
DCX_49_61,Down,Absent,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Down,Absent,Absent,NA,-3,3,-3
DESP_2842_2854,Up,Absent,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Up,Down,Absent,Absent,Absent,Up,Up,7,-1,8,6
E1A_ADE05_212_224,Down,Up,Up,Down,Down,Down,Down,Absent,Down,Down,Up,Up,Up,Down,Up,Up,Down,Down,Absent,7,-10,17,-3
EPB42_241_253,Absent,Up,Down,Absent,Absent,Up,Down,Down,Down,Down,Up,Absent,Absent,Down,Absent,Absent,Up,Up,Down,5,-7,12,-2
ERBB2_679_691,Up,Absent,Down,Absent,Up,Down,Up,Up,Down,Absent,Up,Up,Up,Absent,Absent,Absent,Down,Up,Down,8,-5,13,3
ESR1_160_172,Down,Up,Up,Down,Down,Down,Up,Up,Down,Absent,Up,Up,Up,Down,Up,Up,Down,Down,Down,9,-9,18,0
F263_454_466,Absent,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,3,NA,3,3
FIBA_569_581,Down,Up,Up,Absent,Up,Up,Absent,Down,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4,-3,7,1
FOXO3_25_37,Absent,Up,Absent,Down,Down,Absent,Up,Absent,Down,Up,Up,Down,Absent,Absent,Up,Up,Down,Up,Absent,7,-5,12,2
FRAP_2443_2455,Up,Up,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Up,Down,Absent,Absent,5,-2,7,3
GBRB2_427_439,Down,Up,Up,Absent,Up,Absent,Up,Down,Down,Down,Up,Absent,Up,Down,Up,Up,Up,Up,Down,10,-6,16,4
GPR6_349_361,Up,Absent,Absent,Absent,Up,Up,Down,Absent,Down,Absent,Absent,Absent,Up,Absent,Up,Up,Down,Absent,Up,7,-3,10,4
GRIK2_708_720,Absent,Up,Up,Absent,Up,Down,Down,Down,Down,Absent,Up,Down,Up,Down,Up,Up,Up,Absent,Down,8,-7,15,1
GSUB_61_73,Absent,Up,Absent,Absent,Up,Down,Up,Absent,Down,Down,Absent,Down,Absent,Absent,Up,Up,Down,Absent,Up,6,-5,11,1
GYS2_1_13,Absent,Up,Down,Absent,Absent,Absent,Absent,Up,Down,Down,Up,Absent,Absent,Up,Up,Up,Down,Absent,Absent,6,-4,10,2
H2B1B_ 27_40,Absent,Absent,Absent,Absent,Up,Up,Up,Absent,Down,Absent,Absent,Up,Absent,Up,Absent,Absent,Down,Up,Up,7,-2,9,5
H32_3_18,Up,Down,Up,Absent,Up,Up,Up,Up,Down,Down,Absent,Up,Absent,Down,Absent,Absent,Down,Up,Absent,8,-5,13,3
IF4E_203_215,Absent,Up,Absent,Up,Absent,Absent,Up,Absent,Down,Down,Absent,Up,Absent,Absent,Up,Up,Absent,Absent,Absent,6,-2,8,4
K6PL_766_778,Up,Absent,Absent,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,2,-1,3,1
KAP2_92_104,Up,Up,Up,Up,Down,Absent,Up,Absent,Down,Absent,Up,Absent,Up,Absent,Up,Up,Down,Up,Absent,10,-3,13,7
KAP3_107_119,Absent,Up,Absent,Up,Down,Absent,Absent,Absent,Down,Absent,Up,Down,Up,Absent,Up,Up,Up,Up,Absent,8,-3,11,5
KAPCG_192_206,Absent,Up,Down,Absent,Down,Absent,Up,Absent,Down,Absent,Up,Absent,Absent,Down,Absent,Absent,Down,Up,Absent,4,-5,9,-1
KCC2G_278_289,Down,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Down,Up,Absent,Absent,Absent,Absent,Absent,Down,Absent,Up,4,-3,7,1
KCNA6_504_516,Absent,Up,Up,Down,Up,Down,Down,Down,Down,Absent,Up,Down,Up,Down,Up,Up,Up,Down,Down,8,-9,17,-1
KIF2C_105_118_S106G,Absent,Up,Up,Down,Absent,Down,Absent,Absent,Down,Down,Up,Up,Up,Down,Up,Up,Down,Absent,Absent,7,-6,13,1
KPCB_19_31_A25S,Up,Absent,Absent,Absent,Absent,Absent,Up,Absent,Down,Down,Up,Up,Absent,Down,Up,Up,Down,Up,Absent,7,-4,11,3
KPCB_626_639,Down,Down,Down,Down,Absent,Absent,Down,Absent,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Down,Absent,Absent,1,-7,8,-6
KS6A1_374_386,Down,Up,Down,Up,Absent,Absent,Up,Absent,Down,Absent,Absent,Absent,Down,Up,Up,Up,Down,Absent,Absent,6,-5,11,1
LIPS_944_956,Absent,Absent,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,3,NA,3,3
MARCS_152_164,Up,Absent,Up,Absent,Absent,Up,Absent,Absent,Down,Absent,Up,Up,Absent,Down,Up,Up,Down,Up,Down,8,-4,12,4
MARCS_160_172,Up,Up,Up,Down,Down,Absent,Absent,Absent,Down,Absent,Up,Up,Absent,Down,Up,Up,Down,Absent,Absent,7,-5,12,2
MBP_222_234,Up,Up,Absent,Down,Absent,Absent,Down,Down,Down,Down,Up,Absent,Down,Down,Up,Up,Down,Absent,Absent,5,-8,13,-3
MP2K1_287_299,Absent,Absent,Absent,Absent,Down,Absent,Absent,Absent,Down,Down,Up,Absent,Absent,Absent,Up,Up,Down,Up,Absent,4,-4,8,0
MPIP1_172_184,Absent,Absent,Absent,Up,Absent,Absent,Absent,Absent,Down,Down,Up,Absent,Absent,Absent,Up,Up,Absent,Absent,Absent,4,-2,6,2
MPIP3_208_220,Absent,Absent,Up,Absent,Up,Down,Up,Up,Down,Down,Up,Absent,Up,Up,Absent,Absent,Up,Up,Absent,9,-3,12,6
MYPC3_268_280,Absent,Up,Down,Down,Absent,Absent,Absent,Absent,Absent,Absent,Up,Down,Up,Down,Absent,Absent,Up,Up,Absent,5,-4,9,1
NCF1_296_308,Up,Up,Up,Down,Absent,Up,Absent,Absent,Down,Down,Up,Down,Up,Down,Up,Up,Absent,Up,Down,9,-6,15,3
NCF1_321_333,Up,Down,Up,Down,Down,Up,Absent,Down,Down,Down,Absent,Down,Up,Down,Absent,Absent,Up,Up,Down,6,-9,15,-3
NEK2_172_184,Absent,Up,Down,Down,Absent,Absent,Down,Down,Down,Absent,Absent,Absent,Absent,Down,Up,Up,Down,Absent,Absent,3,-7,10,-4
NEK3_158_170,Down,Up,Down,Absent,Down,Up,Absent,Up,Down,Down,Absent,Absent,Absent,Absent,Absent,Absent,Down,Absent,Down,3,-7,10,-4
NFKB1_330_342,Down,Up,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,3,-2,5,1
NMDZ1_890_902,Down,Up,Up,Down,Up,Absent,Up,Down,Down,Down,Up,Absent,Up,Down,Absent,Absent,Up,Up,Absent,8,-6,14,2
NOS3_1171_1183,Absent,Up,Down,Absent,Absent,Up,Down,Down,Down,Down,Up,Absent,Down,Down,Up,Up,Down,Up,Down,6,-9,15,-3
NR4A1_344_356,Up,Up,Up,Absent,Absent,Down,Absent,Absent,Down,Down,Up,Up,Absent,Down,Up,Up,Down,Up,Absent,8,-5,13,3
P53_12_24,Down,Up,Up,Up,Up,Down,Absent,Absent,Absent,Up,Absent,Down,Up,Absent,Absent,Absent,Down,Absent,Absent,6,-4,10,2
PLEK_106_118,Down,Up,Up,Down,Down,Down,Up,Up,Down,Absent,Up,Up,Up,Down,Up,Up,Down,Down,Absent,9,-8,17,1
PLM_76_88,Up,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Up,Absent,Absent,Absent,Down,Absent,Down,4,-3,7,1
PP2AB_297_309,Absent,Down,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Down,Absent,Absent,1,-3,4,-2
PPR1A_28_40,Absent,Up,Up,Down,Absent,Absent,Up,Absent,Down,Absent,Up,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,5,-2,7,3
PRKDC_2618_2630,Up,Up,Absent,Absent,Absent,Down,Absent,Down,Down,Down,Up,Down,Absent,Absent,Absent,Absent,Down,Up,Absent,4,-6,10,-2
PTK6_436_448,Up,Up,Down,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,3,-2,5,1
PTN12_32_44,Down,Up,Up,Absent,Absent,Absent,Up,Absent,Down,Down,Up,Absent,Up,Down,Absent,Absent,Up,Up,Down,7,-5,12,2
PYGL_8_20,Absent,Absent,Down,Up,Absent,Up,Absent,Absent,Down,Down,Up,Down,Absent,Absent,Up,Absent,Down,Up,Absent,5,-5,10,0
RAF1_253_265,Up,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Down,Down,Absent,Absent,Down,Up,Up,6,-3,9,3
RAP1B_172_184,Absent,Absent,Absent,Absent,Absent,Absent,Up,Up,Down,Down,Up,Up,Absent,Absent,Absent,Absent,Down,Absent,Absent,4,-3,7,1
RB_242_254,Up,Up,Down,Absent,Absent,Down,Down,Down,Down,Down,Up,Down,Down,Absent,Absent,Absent,Down,Up,Up,5,-9,14,-4
RB_350_362,Down,Down,Down,Down,Down,Absent,Absent,Absent,Absent,Absent,Absent,Down,Down,Down,Absent,Absent,Down,Absent,Down,NA,-10,10,-10
RB_803_815,Down,Up,Down,Absent,Down,Absent,Up,Absent,Down,Down,Up,Up,Up,Down,Up,Up,Down,Up,Absent,8,-7,15,1
RBL2_655_667,Absent,Up,Absent,Absent,Down,Up,Absent,Down,Down,Absent,Absent,Down,Down,Absent,Absent,Absent,Down,Absent,Absent,2,-6,8,-4
RS6_228_240,Absent,Up,Up,Up,Up,Down,Up,Absent,Down,Down,Up,Down,Up,Absent,Absent,Absent,Up,Up,Absent,9,-4,13,5
RYR1_4317_4329,Up,Up,Up,Down,Absent,Absent,Up,Down,Down,Down,Up,Absent,Absent,Down,Absent,Absent,Down,Up,Absent,6,-6,12,0
STK6_283_295,Down,Up,Up,Down,Down,Absent,Up,Absent,Down,Absent,Up,Up,Up,Down,Up,Up,Down,Absent,Absent,8,-6,14,2
TAU_524_536,Up,Down,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Down,Absent,Absent,2,-3,5,-1
TOP2A_1463_1475,Down,Up,Up,Absent,Absent,Down,Absent,Absent,Down,Down,Up,Absent,Up,Down,Absent,Absent,Absent,Down,Down,4,-7,11,-3
TY3H_65_77,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,1,NA,1,1
VASP_271_283,Down,Up,Up,Down,Down,Down,Up,Absent,Down,Down,Up,Up,Up,Down,Up,Up,Down,Down,Down,8,-10,18,-2
VTNC_390_402,Up,Up,Up,Down,Absent,Absent,Absent,Absent,Absent,Absent,Up,Down,Up,Down,Up,Up,Up,Down,Down,8,-5,13,3
YAP1_121_133,Up,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,3,NA,3,3
KCNA2_442_454,Absent,Absent,Absent,Down,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,NA,-1,1,-1
RADI_559_569,Absent,Down,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,3,-1,4,2
SCN7A_898_910,Absent,Up,Up,Up,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Absent,Absent,4,NA,4,4
CDN1A_139_151,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Up,Up,Up,Down,Absent,Absent,Absent,Up,Absent,4,-1,5,3
